Country,Region,Global South
Afghanistan,Asia & Pacific,Global South
Aland Islands,Europe,Global North
Albania,Europe,Global North
Algeria,Arab States,Global South
American Samoa,Asia & Pacific,Global South
Andorra,Europe,Global North
Angola,Africa,Global South
Anguilla,South/Latin America,Global South
Antarctica,Asia & Pacific,Global South
Antigua and Barbuda,South/Latin America,Global South
Argentina,South/Latin America,Global South
Armenia,Europe,Global South
Aruba,South/Latin America,Global South
Australia,Asia & Pacific,Global North
Austria,Europe,Global North
Azerbaijan,Asia & Pacific,Global South
Bahamas,South/Latin America,Global South
Bahrain,Arab States,Global South
Bangladesh,Asia & Pacific,Global South
Barbados,South/Latin America,Global South
Belarus,Europe,Global South
Belgium,Europe,Global North
Belize,South/Latin America,Global South
Benin,Africa,Global South
Bermuda,North America,Global North
Bhutan,Asia & Pacific,Global South
Bolivia,South/Latin America,Global South
Bosnia and Herzegovina,Europe,Global North
Botswana,Africa,Global South
Bouvet Island,South/Latin America,Global South
Brazil,South/Latin America,Global South
British Indian Ocean Territory,Asia & Pacific,Global South
Brunei Darussalam,Asia & Pacific,Global South
Bulgaria,Europe,Global North
Burkina Faso,Africa,Global South
Burundi,Africa,Global South
Cambodia,Asia & Pacific,Global South
Cameroon,Africa,Global South
Canada,North America,Global North
Cape Verde,Africa,Global South
Cayman Islands,South/Latin America,Global South
Central African Republic,Africa,Global South
Chad,Africa,Global South
Chile,South/Latin America,Global South
China,Asia & Pacific,Global South
Christmas Island,Asia & Pacific,Global South
Cocos (Keeling) Islands,Asia & Pacific,Global South
Colombia,South/Latin America,Global South
Comoros,Arab States,Global South
Congo,Africa,Global South
"Congo, The Democratic Republic of the",Africa,Global South
Cook Islands,Asia & Pacific,Global South
Costa Rica,South/Latin America,Global South
Côte D'Ivoire,Africa,Global South
Croatia,Europe,Global North
Cuba,South/Latin America,Global South
Cyprus,Europe,Global North
Czech Republic,Europe,Global North
Denmark,Europe,Global North
Djibouti,Arab States,Global South
Dominica,South/Latin America,Global South
Dominican Republic,South/Latin America,Global South
Ecuador,South/Latin America,Global South
Egypt,Middle east,Global South
El Salvador,South/Latin America,Global South
Equatorial Guinea,Africa,Global South
Eritrea,Africa,Global South
Estonia,Europe,Global North
Ethiopia,Africa,Global South
Falkland Islands (Malvinas),South/Latin America,Global South
Faroe Islands,Europe,Global North
Fiji,Asia & Pacific,Global South
Finland,Europe,Global North
France,Europe,Global North
"France, Metropolitan",Europe,Global North
French Guiana,South/Latin America,Global South
French Polynesia,Asia & Pacific,Global South
French Southern Territories,Asia & Pacific,Global South
Gabon,Africa,Global South
Gambia,Africa,Global South
Georgia,Europe,Global South
Germany,Europe,Global North
Ghana,Africa,Global South
Gibraltar,Europe,Global North
Greece,Europe,Global North
Greenland,Europe,Global North
Grenada,South/Latin America,Global South
Guadeloupe,South/Latin America,Global South
Guam,Asia & Pacific,Global South
Guatemala,South/Latin America,Global South
Guernsey,Europe,Global North
Guinea,Africa,Global South
Guinea-Bissau,Africa,Global South
Guyana,South/Latin America,Global South
Haiti,South/Latin America,Global South
Heard Island and McDonald Islands,Asia & Pacific,Global South
Holy See (Vatican City State),Europe,Global North
Honduras,South/Latin America,Global South
Hungary,Europe,Global North
Iceland,Europe,Global North
India,Asia & Pacific,Global South
Indonesia,Asia & Pacific,Global South
"Iran, Islamic Republic of",Middle east,Global South
Iraq,Middle east,Global South
Ireland,Europe,Global North
Isle of Man,Europe,Global North
Israel,Europe,Global North
Italy,Europe,Global North
Jamaica,South/Latin America,Global South
Japan,Asia & Pacific,Global North
Jersey,Europe,Global North
Jordan,Middle east,Global South
Kazakhstan,Asia & Pacific,Global South
Kenya,Africa,Global South
Kiribati,Asia & Pacific,Global South
Kuwait,Middle east,Global South
Kyrgyzstan,Asia & Pacific,Global South
Lao People's Democratic Republic,Asia & Pacific,Global South
Latvia,Europe,Global North
Lebanon,Middle east,Global South
Lesotho,Africa,Global South
Liberia,Africa,Global South
Libya,Middle east,Global South
Liechtenstein,Europe,Global North
Lithuania,Europe,Global North
Luxembourg,Europe,Global North
Macedonia,Europe,Global North
Madagascar,Africa,Global South
Malawi,Africa,Global South
Malaysia,Asia & Pacific,Global South
Maldives,Asia & Pacific,Global South
Mali,Africa,Global South
Malta,Europe,Global North
Marshall Islands,Asia & Pacific,Global South
Martinique,South/Latin America,Global South
Mauritania,Arab States,Global South
Mauritius,Africa,Global South
Mayotte,Africa,Global South
Mexico,South/Latin America,Global South
"Micronesia, Federated States of",Asia & Pacific,Global South
"Moldova, Republic of",Europe,Global North
Monaco,Europe,Global North
Mongolia,Asia & Pacific,Global South
Montenegro,Europe,Global North
Montserrat,South/Latin America,Global South
Morocco,Arab States,Global South
Mozambique,Africa,Global South
Myanmar,Asia & Pacific,Global South
Namibia,Africa,Global South
Nauru,Asia & Pacific,Global South
Nepal,Asia & Pacific,Global South
Netherlands,Europe,Global North
Netherlands Antilles,South/Latin America,Global South
New Caledonia,Asia & Pacific,Global South
New Zealand,Asia & Pacific,Global North
Nicaragua,South/Latin America,Global South
Niger,Africa,Global South
Nigeria,Africa,Global South
Niue,Asia & Pacific,Global South
Norfolk Island,Asia & Pacific,Global South
North Korea,Asia & Pacific,Global South
Northern Mariana Islands,Asia & Pacific,Global South
Norway,Europe,Global North
Oman,Middle east,Global South
Pakistan,Asia & Pacific,Global South
Palau,Asia & Pacific,Global South
Palestinian Territory,Arab States,Global South
Panama,South/Latin America,Global South
Papua New Guinea,Asia & Pacific,Global South
Paraguay,South/Latin America,Global South
Peru,South/Latin America,Global South
Philippines,Asia & Pacific,Global South
Pitcairn Islands,Asia & Pacific,Global South
Poland,Europe,Global North
Portugal,Europe,Global North
Puerto Rico,South/Latin America,Global South
Qatar,Middle east,Global South
Reunion,Asia & Pacific,Global South
Romania,Europe,Global North
Russian Federation,Europe,Global North
Rwanda,Africa,Global South
Saint Barthelemy,South/Latin America,Global South
Saint Helena,Africa,Global South
Saint Kitts and Nevis,South/Latin America,Global South
Saint Lucia,South/Latin America,Global South
Saint Martin,South/Latin America,Global South
Saint Pierre and Miquelon,North America,Global North
Saint Vincent and the Grenadines,South/Latin America,Global South
Samoa,Asia & Pacific,Global South
San Marino,Europe,Global North
Sao Tome and Principe,Africa,Global South
Saudi Arabia,Middle east,Global South
Senegal,Africa,Global South
Serbia,Europe,Global North
Seychelles,Africa,Global South
Sierra Leone,Africa,Global South
Singapore,Asia & Pacific,Global North
Slovakia,Europe,Global North
Slovenia,Europe,Global North
Solomon Islands,Asia & Pacific,Global South
Somalia,Arab States,Global South
South Africa,Africa,Global South
South Georgia and the South Sandwich Islands,South/Latin America,Global South
South Korea,Asia & Pacific,Global North
South Sudan,Africa,Global South
Spain,Europe,Global North
Sri Lanka,Asia & Pacific,Global South
Sudan,Arab States,Global South
Suriname,South/Latin America,Global South
Svalbard and Jan Mayen,Europe,Global North
Swaziland,Africa,Global South
Sweden,Europe,Global North
Switzerland,Europe,Global North
Syrian Arab Republic,Asia & Pacific,Global South
Tajikistan,Asia & Pacific,Global South
"Tanzania, United Republic of",Africa,Global South
Thailand,Asia & Pacific,Global South
Timor-Leste,Asia & Pacific,Global South
Togo,Africa,Global South
Tokelau,Asia & Pacific,Global South
Tonga,Asia & Pacific,Global South
Trinidad and Tobago,South/Latin America,Global South
Tunisia,Arab States,Global South
Turkey,Europe,Global North
Turkmenistan,Asia & Pacific,Global South
Turks and Caicos Islands,South/Latin America,Global South
Tuvalu,Asia & Pacific,Global South
Uganda,Africa,Global South
Ukraine,Europe,Global South
United Arab Emirates,Middle east,Global South
United Kingdom,Europe,Global North
United States,North America,Global North
United States Minor Outlying Islands,Asia & Pacific,Global South
Uruguay,South/Latin America,Global South
Uzbekistan,Asia & Pacific,Global South
Vanuatu,Asia & Pacific,Global South
Venezuela,South/Latin America,Global South
Vietnam,Asia & Pacific,Global South
"Virgin Islands, British",South/Latin America,Global South
"Virgin Islands, U.S.",South/Latin America,Global South
Wallis and Futuna,Asia & Pacific,Global South
Western Sahara,Africa,Global South
Yemen,Middle east,Global South
Zambia,Africa,Global South
Zimbabwe,Africa,Global South
